district,fiscal_year,check,name,car,audited,gap,gap_pct,flag
College CSD (Prairie),2023,C15_days_cash,Days cash on hand,44.29,44.28,0.01,,
College CSD (Prairie),2023,C6_rollforward,CAR begin = prior CAR end,13912980.02,13912980.02,0.0,0.0,
College CSD (Prairie),2023,C7_begin_vs_audit,CAR begin vs prior audited end,13912980.02,13912980.0,0.02,0.0,
College CSD (Prairie),2023,C8_net_change,Net change in fund balance,-1182520.28,-1225880.0,43359.72,-3.54,
Davenport CSD,2018,C6_rollforward,CAR begin = prior CAR end,18402920.0,18402920.0,0.0,0.0,
Davenport CSD,2019,C6_rollforward,CAR begin = prior CAR end,13804754.64,13804755.0,-0.36,-0.0,
Davenport CSD,2020,C1_ending,Ending GF fund balance,25454379.37,25454380.0,-0.63,-0.0,
Davenport CSD,2020,C10_revenue,GF revenue,191520786.79,191199787.0,320999.79,0.17,
Davenport CSD,2020,C11_expenditure,GF expenditure,183013826.75,183013826.0,0.75,0.0,
Davenport CSD,2020,C13_margin,Operating margin %,4.44,4.28,0.16,,
Davenport CSD,2020,C18_fb_pct_exp,Fund balance % of expenditure,13.91,13.91,-0.0,,
Davenport CSD,2020,C6_rollforward,CAR begin = prior CAR end,16947419.33,16947419.33,0.0,0.0,
Davenport CSD,2021,C1_ending,Ending GF fund balance,29088196.78,28499620.0,588576.78,2.07,Y
Davenport CSD,2021,C10_revenue,GF revenue,195824537.6,194639365.0,1185172.6,0.61,
Davenport CSD,2021,C11_expenditure,GF expenditure,192190720.19,191417781.0,772939.19,0.4,
Davenport CSD,2021,C13_margin,Operating margin %,1.86,1.66,0.2,,
Davenport CSD,2021,C18_fb_pct_exp,Fund balance % of expenditure,15.14,14.89,0.25,,
Davenport CSD,2021,C6_rollforward,CAR begin = prior CAR end,25454379.37,25454379.37,0.0,0.0,
Davenport CSD,2021,C7_begin_vs_audit,CAR begin vs prior audited end,25454379.37,25454380.0,-0.63,-0.0,
Davenport CSD,2021,C8_net_change,Net change in fund balance,3633817.41,3045240.0,588577.41,19.33,Y
Davenport CSD,2022,C1_ending,Ending GF fund balance,35862294.7,35293803.0,568491.7,1.61,Y
Davenport CSD,2022,C10_revenue,GF revenue,202816244.14,202274754.0,541490.14,0.27,
Davenport CSD,2022,C11_expenditure,GF expenditure,196042146.22,195608139.0,434007.22,0.22,
Davenport CSD,2022,C13_margin,Operating margin %,3.34,3.3,0.04,,
Davenport CSD,2022,C18_fb_pct_exp,Fund balance % of expenditure,18.29,18.04,0.25,,
Davenport CSD,2022,C6_rollforward,CAR begin = prior CAR end,29088196.78,29088196.78,0.0,0.0,
Davenport CSD,2022,C7_begin_vs_audit,CAR begin vs prior audited end,29088196.78,28499620.0,588576.78,2.07,Y
Davenport CSD,2022,C8_net_change,Net change in fund balance,6774097.92,6794183.0,-20085.08,-0.3,
Davenport CSD,2023,C1_ending,Ending GF fund balance,49889999.2,50668239.0,-778239.8,-1.54,Y
Davenport CSD,2023,C2_available,Available (unassigned+assigned),45576434.51,46354674.0,-778239.49,-1.68,Y
Davenport CSD,2023,C10_revenue,GF revenue,220521904.99,220539091.0,-17186.01,-0.01,
Davenport CSD,2023,C11_expenditure,GF expenditure,206494200.49,201686938.0,4807262.49,2.38,Y
Davenport CSD,2023,C13_margin,Operating margin %,6.36,8.55,-2.19,,
Davenport CSD,2023,C18_fb_pct_exp,Fund balance % of expenditure,24.16,25.12,-0.96,,
Davenport CSD,2023,C17_solvency,Solvency ratio %,20.67,21.74,-1.07,,
Davenport CSD,2023,C14_cash,GF operating cash,64999239.91,65308906.0,-309666.09,-0.47,
Davenport CSD,2023,C15_days_cash,Days cash on hand,114.89,118.19,-3.3,,Y
Davenport CSD,2023,C6_rollforward,CAR begin = prior CAR end,35862294.7,35862294.7,0.0,0.0,
Davenport CSD,2023,C7_begin_vs_audit,CAR begin vs prior audited end,35862294.7,35293803.0,568491.7,1.61,Y
Davenport CSD,2023,C8_net_change,Net change in fund balance,14027704.5,15374436.0,-1346731.5,-8.76,Y
Des Moines Independent CSD,2018,C6_rollforward,CAR begin = prior CAR end,82653777.0,82653777.0,0.0,0.0,
Des Moines Independent CSD,2019,C6_rollforward,CAR begin = prior CAR end,84117173.01,84117173.0,0.01,0.0,
Des Moines Independent CSD,2020,C1_ending,Ending GF fund balance,125060024.14,125060027.0,-2.86,-0.0,
Des Moines Independent CSD,2020,C10_revenue,GF revenue,461696460.87,460327437.0,1369023.87,0.3,
Des Moines Independent CSD,2020,C11_expenditure,GF expenditure,433422074.34,432741578.0,680496.34,0.16,
Des Moines Independent CSD,2020,C13_margin,Operating margin %,6.12,5.99,0.13,,
