district,fiscal_year,revenues,expenditures,net_change,beginning_balance,ending_balance,restated,cash,fb_nonspendable,fb_restricted,fb_committed,fb_assigned,fb_unassigned,fb_total,ok_rollforward,ok_fbsum
Davenport CSD,2020,191199787.0,183013826.0,8506962.0,16947418.0,25454380.0,,52206206.0,201847.0,5355060.0,,,19897473.0,25454380.0,Y,
Davenport CSD,2021,194639365.0,191417781.0,3045240.0,25454380.0,28499620.0,,49276837.0,305312.0,5867593.0,,,22312601.0,28499620.0,Y,
Davenport CSD,2022,202274754.0,195608139.0,6794183.0,28499620.0,35293803.0,,54415534.0,313438.0,3094298.0,,,31864061.0,35293803.0,Y,
Davenport CSD,2023,220539091.0,201686938.0,15374436.0,35293803.0,50668239.0,,65308906.0,371214.0,3929833.0,,,46354674.0,50668239.0,Y,
Des Moines Independent CSD,2015,396564653.0,398906274.0,-2221502.0,76427474.0,74205972.0,,107323881.0,1722676.0,12395621.0,11500000.0,4717021.0,43870654.0,74205972.0,Y,Y
Des Moines Independent CSD,2016,419243875.0,412522741.0,6813864.0,74205972.0,81019836.0,,109900931.0,2022946.0,19449024.0,11500000.0,2270271.0,45777595.0,81019836.0,Y,Y
Des Moines Independent CSD,2017,431405668.0,430113500.0,1283923.0,81019836.0,82303759.0,,111146880.0,2678098.0,20113274.0,11500000.0,2747894.0,45264493.0,82303759.0,Y,Y
Des Moines Independent CSD,2018,442797277.0,442336665.0,1813416.0,82303759.0,84117175.0,,107286167.0,2545106.0,16977566.0,11500000.0,2722083.0,50372420.0,84117175.0,Y,Y
Des Moines Independent CSD,2019,450447716.0,440144259.0,12668465.0,84117175.0,96785640.0,,110824589.0,3968453.0,15816459.0,11500000.0,2887205.0,62613523.0,96785640.0,Y,Y
Des Moines Independent CSD,2020,460327437.0,432741578.0,28274387.0,96785640.0,125060027.0,,152269706.0,2187264.0,17588320.0,11500000.0,2374122.0,91410321.0,125060027.0,Y,Y
Des Moines Independent CSD,2021,508163078.0,450242429.0,59205102.0,125060027.0,184265129.0,,158408598.0,1817518.0,16614372.0,11500000.0,2374122.0,151959117.0,184265129.0,Y,Y
Des Moines Independent CSD,2022,459373498.0,465845285.0,-4419228.0,184265129.0,179845901.0,,192192106.0,1947525.0,9694399.0,11500000.0,2331042.0,154372935.0,179845901.0,Y,Y
Des Moines Independent CSD,2023,488691573.0,486633749.0,4480961.0,179845901.0,184326862.0,,196551332.0,1730593.0,7806432.0,11500000.0,2703026.0,160586811.0,184326862.0,Y,Y
Dubuque CSD,2015,118472867.0,126116923.0,-7383865.0,21967631.0,14583766.0,,23606780.0,,1324944.0,,,12813922.0,14583766.0,Y,
Dubuque CSD,2016,123818616.0,126168081.0,-2128338.0,14583766.0,12455428.0,,23519133.0,,1045379.0,,,10999777.0,12455428.0,Y,
Dubuque CSD,2017,129737478.0,126084256.0,3773011.0,12455428.0,16228439.0,,27286680.0,,835978.0,,,14961447.0,16228439.0,Y,
Dubuque CSD,2018,130805544.0,129402118.0,1754211.0,16228439.0,17982650.0,,29544861.0,,1020411.0,,,16611997.0,17982650.0,Y,
Dubuque CSD,2019,131376578.0,131446993.0,215890.0,17982650.0,18198540.0,,29601084.0,,858254.0,,,16967741.0,18198540.0,Y,
Dubuque CSD,2020,132171981.0,132654280.0,-73386.0,18198540.0,18125154.0,,31601063.0,,1259028.0,,,16524327.0,18125154.0,Y,
Dubuque CSD,2021,145074388.0,137835817.0,6805992.0,18125154.0,24931146.0,Y,31159075.0,,1493676.0,,,23065023.0,24931146.0,Y,
Dubuque CSD,2022,149213189.0,144537665.0,5346349.0,24931146.0,30277495.0,Y,39348095.0,,1872873.0,,,28035617.0,30277495.0,Y,
Dubuque CSD,2023,139402754.0,142565488.0,-2688486.0,30277495.0,27589009.0,Y,37439396.0,,1801099.0,,,25481734.0,27589009.0,Y,
Iowa City CSD,2015,140870647.0,138493219.0,2205428.0,13738854.0,15944282.0,,25599301.0,1095801.0,3303867.0,,,11544614.0,15944282.0,Y,
Iowa City CSD,2016,149586127.0,144928058.0,4486069.0,15944282.0,20430351.0,,33270812.0,1127628.0,3963463.0,,,15339260.0,20430351.0,Y,
Iowa City CSD,2017,157185362.0,153610608.0,3402754.0,20430351.0,23833105.0,,36965401.0,1251954.0,4030600.0,,,18550551.0,23833105.0,Y,
Iowa City CSD,2018,162894810.0,165761057.0,-2721682.0,23833105.0,21111423.0,,35749416.0,1395556.0,2478299.0,,,17237568.0,21111423.0,Y,
Iowa City CSD,2019,166434612.0,172395991.0,-6211379.0,21111423.0,14900044.0,,29661358.0,1472184.0,2157358.0,,,11270502.0,14900044.0,Y,
Iowa City CSD,2020,169739238.0,173099142.0,-3659904.0,14900044.0,11240140.0,,24963852.0,1552575.0,2811326.0,,,6876239.0,11240140.0,Y,
Iowa City CSD,2021,190498914.0,184984176.0,4564738.0,11325412.0,15890150.0,Y,21761592.0,1316399.0,2920281.0,,,11653470.0,15890150.0,Y,
Iowa City CSD,2022,196760462.0,202187558.0,-5827096.0,15890150.0,10063054.0,,21475952.0,1738981.0,2967523.0,,,5356550.0,10063054.0,Y,
Iowa City CSD,2023,209488033.0,207876297.0,88167.0,10063054.0,10151221.0,,19012680.0,1702154.0,3488724.0,,,4960343.0,10151221.0,Y,
Johnston CSD,2015,70566918.0,68388621.0,2348181.0,5045021.0,7393202.0,,13603745.0,44102.0,1283366.0,,,6065734.0,7393202.0,Y,
Johnston CSD,2016,74755367.0,70676923.0,4288988.0,7393202.0,11682190.0,,18291764.0,66752.0,1525575.0,,,10088953.0,11682190.0,Y,
Johnston CSD,2017,77086546.0,74250082.0,3061829.0,11682190.0,14744019.0,,20734693.0,60138.0,1576733.0,,,13107148.0,14744019.0,Y,
Johnston CSD,2018,79548091.0,78645374.0,1141463.0,14744019.0,15885482.0,,22629613.0,70133.0,1659862.0,,,14154725.0,15885482.0,Y,
Johnston CSD,2019,81289782.0,83095097.0,-1570088.0,15885482.0,14315394.0,,21718466.0,71233.0,1548758.0,,,12695403.0,14315394.0,Y,
Johnston CSD,2020,82568683.0,84937989.0,-2169249.0,14315394.0,12146145.0,,18860889.0,85572.0,1541847.0,,,10518726.0,12146145.0,Y,
